Time,X,Y
-3.89945,0.791128,0.312668
-3.88382,0.791128,0.312668
-3.86817,0.791128,0.312668
-3.85252,0.806117,0.296458
-3.83695,0.806117,0.296458
-3.82129,0.806117,0.296458
-3.80569,0.806117,0.296458
-3.79001,0.806117,0.296458
-3.77438,0.826202,0.279482
-3.75878,0.826202,0.279482
-3.74319,0.826202,0.279482
-3.72756,0.826202,0.279482
-3.71194,0.843563,0.273116
-3.69625,0.843563,0.273116
-3.68067,0.843563,0.273116
-3.665,0.843563,0.273116
-3.64941,0.843563,0.273116
-3.63375,0.857362,0.269189
-3.61811,0.857362,0.269189
-3.60253,0.857362,0.269189
-3.58686,0.857362,0.269189
-3.50873,0.88869,0.25243
-3.49316,0.88869,0.25243
-3.47753,0.88869,0.25243
-3.4619,0.88869,0.25243
-3.44625,0.88869,0.25243
-3.30558,0.933162,0.268714
-3.28997,0.933162,0.268714
-3.27437,0.933162,0.268714
-3.25873,0.933162,0.268714
-3.24313,0.956313,0.28524
-3.2275,0.956313,0.28524
-3.21187,0.956313,0.28524
-3.19619,0.956313,0.28524
-3.18058,0.975508,0.297202
-3.16497,0.975508,0.297202
-3.14932,0.975508,0.297202
-3.13369,0.975508,0.297202
-3.11806,0.975508,0.297202
-3.10246,0.991099,0.302629
-3.08683,0.991099,0.302629
-3.07119,0.991099,0.302629
-3.05556,0.991099,0.302629
-3.03992,1.01131,0.301277
-3.02435,1.01131,0.301277
-3.00869,1.01131,0.301277
-2.9931,1.01131,0.301277
-2.85245,1.07198,0.276871
-2.83684,1.07198,0.276871
-2.82115,1.07198,0.276871
-2.80552,1.07198,0.276871
-2.78992,1.07198,0.276871
-2.77429,1.08464,0.268524
-2.75867,1.08464,0.268524
-2.74304,1.08464,0.268524
-2.72744,1.08464,0.268524
-2.7118,1.09492,0.260593
-2.69617,1.09492,0.260593
-2.68055,1.09492,0.260593
-2.66493,1.09492,0.260593
-2.64929,1.10747,0.250553
-2.63368,1.10747,0.250553
-2.618,1.10747,0.250553
-2.60243,1.10747,0.250553
-2.58677,1.10747,0.250553
-2.57115,1.12247,0.243955
-2.55549,1.12247,0.243955
-2.53987,1.12247,0.243955
-2.5243,1.12247,0.243955
-2.50861,1.13927,0.239482
-2.49305,1.13927,0.239482
-2.47742,1.13927,0.239482
-2.46179,1.13927,0.239482
-2.44617,1.13927,0.239482
-2.43047,1.15826,0.243534
-2.41485,1.15826,0.243534
-2.39922,1.15826,0.243534
-2.38359,1.15826,0.243534
-2.36801,1.15826,0.243534
-2.35233,1.1805,0.258982
-2.33677,1.1805,0.258982
-2.32108,1.1805,0.258982
-2.30546,1.1805,0.258982
-2.28988,1.20302,0.280377
-2.27425,1.20302,0.280377
-2.25862,1.20302,0.280377
-2.24299,1.2215,0.296013
-2.22738,1.2215,0.296013
-2.21173,1.2215,0.296013
-2.19607,1.2215,0.296013
-2.18051,1.23399,0.304823
-2.16482,1.23399,0.304823
-2.14919,1.23399,0.304823
-2.13359,1.23399,0.304823
-2.11794,1.24257,0.313637
-2.10238,1.24257,0.313637
-2.08668,1.24257,0.313637
-2.07112,1.24257,0.313637
-2.05547,1.24257,0.313637
-2.0398,1.25959,0.317412
-2.02424,1.25959,0.317412
-2.00855,1.25959,0.317412
-1.99297,1.25959,0.317412
-1.97736,1.25959,0.317412
-1.96172,1.27788,0.319192
-1.94608,1.27788,0.319192
-1.93046,1.27788,0.319192
-1.91484,1.29129,0.361745
-1.8992,1.29129,0.361745
-1.88358,1.29129,0.361745
-1.86794,1.29129,0.361745
-1.85228,1.29129,0.361745
-1.8367,1.30878,0.31803
-1.82103,1.30878,0.31803
-1.8054,1.30878,0.31803
-1.7898,1.30878,0.31803
-1.77415,1.32942,0.324969
-1.75858,1.32942,0.324969
-1.74294,1.32942,0.324969
-1.72733,1.32942,0.324969
-0.914698,1.5844,0.30951
-0.899101,1.5844,0.30951
-0.883415,1.5844,0.30951
-0.867849,1.5844,0.30951
-0.852163,1.5844,0.30951
1.28866,2.229,0.0349456
1.30435,2.229,0.0349456
1.31994,2.229,0.0349456
1.33556,2.229,0.0349456
1.44494,2.26769,0.0306606
1.46062,2.26769,0.0306606
1.47622,2.26769,0.0306606
1.49181,2.26769,0.0306606
1.50744,2.29405,0.0219991
1.52307,2.29405,0.0219991
1.53875,2.29405,0.0219991
1.55438,2.33064,0.0158645
1.58559,2.33064,0.0158645
1.6012,2.33064,0.0158645
1.61689,2.33064,0.0158645
1.63251,2.33064,0.0158645
1.82004,2.39147,0.0258443
1.83561,2.39147,0.0258443
1.85126,2.39147,0.0258443
1.8669,2.39147,0.0258443
1.88254,2.39147,0.0258443
1.89814,2.40805,0.0270904
1.91377,2.40805,0.0270904
1.92942,2.40805,0.0270904
1.94502,2.40805,0.0270904
1.96067,2.42309,0.0304149
1.9763,2.42309,0.0304149
1.99187,2.42309,0.0304149
2.0075,2.42309,0.0304149
2.02313,2.45758,0.0305236
2.03881,2.45758,0.0305236
2.05439,2.45758,0.0305236
2.07,2.45758,0.0305236
2.08568,2.47684,0.0367788
2.10129,2.47684,0.0367788
2.11693,2.47684,0.0367788
2.13256,2.47684,0.0367788
2.14813,2.47684,0.0367788
2.16381,2.50204,0.0324492
2.17942,2.50204,0.0324492
2.19507,2.50204,0.0324492
2.2107,2.50204,0.0324492
2.22626,2.52059,0.032223
2.24193,2.52059,0.032223
2.25752,2.52059,0.032223
2.27315,2.52059,0.032223
2.28883,2.54434,0.0293191
2.30445,2.54434,0.0293191
2.32004,2.54434,0.0293191
2.33565,2.54434,0.0293191
2.35129,2.54434,0.0293191
2.36696,2.5763,0.0244558
2.38257,2.5763,0.0244558
2.3982,2.5763,0.0244558
2.41379,2.5763,0.0244558
3.69521,2.97592,0.143085
3.71089,2.97592,0.143085
3.72648,2.97592,0.143085
3.74211,2.97592,0.143085
3.75771,2.97574,0.164757
3.77333,2.97574,0.164757
3.78903,2.97574,0.164757
3.80463,2.97574,0.164757
3.82028,2.97574,0.164757
3.83589,2.97574,0.164757
3.85151,2.97637,0.181409
3.86716,2.97637,0.181409
3.88276,2.97637,0.181409
3.89842,2.98528,0.191445
3.91404,2.98528,0.191445
3.92967,2.98528,0.191445
3.9453,2.98528,0.191445
3.96091,3.00925,0.189586
3.97655,3.00925,0.189586
3.99216,3.00925,0.189586
4.00776,3.00925,0.189586
4.02336,3.04103,0.173686
4.03901,3.04103,0.173686
4.05464,3.04103,0.173686
4.07024,3.04103,0.173686
4.0859,3.04103,0.173686
4.10153,3.04103,0.173686
4.11717,3.06917,0.15083
4.13281,3.06917,0.15083
4.14841,3.06917,0.15083
4.16406,3.09009,0.129705
4.17967,3.09009,0.129705
4.19531,3.09009,0.129705
4.21092,3.09009,0.129705
4.22655,3.10593,0.117615
4.2422,3.10593,0.117615
4.25777,3.10593,0.117615
4.27339,3.10593,0.117615
4.28908,3.12063,0.113774
4.30464,3.12063,0.113774
4.32034,3.12063,0.113774
4.33593,3.12063,0.113774
4.35152,3.12063,0.113774
4.36715,3.13469,0.113776
